,Code,age,sex,settlement,population.total,population.ed,population.not.ed,year,addressCod,addressCode
338,IR.TH,16,پسر,روستا,7773,5335,2438,1390,23,23
339,IR.WA,16,پسر,روستا,11818,6783,5035,1390,4,04
340,IR.YA,16,پسر,روستا,1461,1033,428,1390,21,21
341,IR.ZA,16,پسر,روستا,3804,2477,1327,1390,19,19
342,IR.AL,17,پسر,روستا,1996,1116,880,1390,30,30
343,IR.AR,17,پسر,روستا,5390,2390,3000,1390,24,24
344,IR.BK,17,پسر,روستا,6515,3708,2807,1390,5,05
345,IR.BS,17,پسر,روستا,2693,1720,973,1390,18,18
346,IR.CM,17,پسر,روستا,4223,2183,2040,1390,14,14
347,IR.EA,17,پسر,روستا,11220,5086,6134,1390,3,03
348,IR.ES,17,پسر,روستا,5778,3093,2685,1390,10,10
349,IR.FA,17,پسر,روستا,13570,7875,5695,1390,7,07
350,IR.GI,17,پسر,روستا,8844,4601,4243,1390,1,01
351,IR.GO,17,پسر,روستا,8979,3859,5120,1390,27,27
352,IR.HD,17,پسر,روستا,7335,3393,3942,1390,13,13
353,IR.HG,17,پسر,روستا,9076,4994,4082,1390,22,22
354,IR.IL,17,پسر,روستا,2267,1324,943,1390,16,16
355,IR.KB,17,پسر,روستا,3198,2076,1122,1390,17,17
356,IR.KD,17,پسر,روستا,5769,2209,3560,1390,12,12
357,IR.KE,17,پسر,روستا,13461,7438,6023,1390,8,08
358,IR.KJ,17,پسر,روستا,2793,1298,1495,1390,29,29
359,IR.KS,17,پسر,روستا,4446,1816,2630,1390,28,28
360,IR.KV,17,پسر,روستا,17316,6389,10927,1390,9,09
361,IR.KZ,17,پسر,روستا,15924,8329,7595,1390,6,06
362,IR.LO,17,پسر,روستا,8314,4597,3717,1390,15,15
363,IR.MK,17,پسر,روستا,3488,1571,1917,1390,0,00
364,IR.MN,17,پسر,روستا,10712,6577,4135,1390,2,02
365,IR.QM,17,پسر,روستا,494,248,246,1390,25,25
366,IR.QZ,17,پسر,روستا,3129,1544,1585,1390,26,26
367,IR.SB,17,پسر,روستا,14655,6415,8240,1390,11,11
368,IR.SM,17,پسر,روستا,1306,706,600,1390,20,20
369,IR.TH,17,پسر,روستا,8362,4183,4179,1390,23,23
370,IR.WA,17,پسر,روستا,12662,5510,7152,1390,4,04
371,IR.YA,17,پسر,روستا,1548,859,689,1390,21,21
372,IR.ZA,17,پسر,روستا,4292,1973,2319,1390,19,19
373,IR.AL,18,پسر,روستا,2191,902,1289,1390,30,30
374,IR.AR,18,پسر,روستا,5708,1618,4090,1390,24,24
375,IR.BK,18,پسر,روستا,7582,2521,5061,1390,5,05
376,IR.BS,18,پسر,روستا,3141,1396,1745,1390,18,18
377,IR.CM,18,پسر,روستا,4407,1627,2780,1390,14,14
378,IR.EA,18,پسر,روستا,12533,3722,8811,1390,3,03
379,IR.ES,18,پسر,روستا,6676,2241,4435,1390,10,10
380,IR.FA,18,پسر,روستا,14923,5808,9115,1390,7,07
381,IR.GI,18,پسر,روستا,9308,3291,6017,1390,1,01
382,IR.GO,18,پسر,روستا,9151,2624,6527,1390,27,27
383,IR.HD,18,پسر,روستا,7672,2339,5333,1390,13,13
384,IR.HG,18,پسر,روستا,9383,3306,6077,1390,22,22
385,IR.IL,18,پسر,روستا,2273,924,1349,1390,16,16
386,IR.KB,18,پسر,روستا,3587,1701,1886,1390,17,17
387,IR.KD,18,پسر,روستا,5843,1264,4579,1390,12,12
388,IR.KE,18,پسر,روستا,14012,5321,8691,1390,8,08
389,IR.KJ,18,پسر,روستا,3097,869,2228,1390,29,29
390,IR.KS,18,پسر,روستا,4704,1224,3480,1390,28,28
391,IR.KV,18,پسر,روستا,17525,4183,13342,1390,9,09
392,IR.KZ,18,پسر,روستا,16740,6349,10391,1390,6,06
393,IR.LO,18,پسر,روستا,8287,3204,5083,1390,15,15
394,IR.MK,18,پسر,روستا,3754,1049,2705,1390,0,00
395,IR.MN,18,پسر,روستا,12218,5550,6668,1390,2,02
396,IR.QM,18,پسر,روستا,485,144,341,1390,25,25
397,IR.QZ,18,پسر,روستا,3694,1166,2528,1390,26,26
398,IR.SB,18,پسر,روستا,14921,4423,10498,1390,11,11
399,IR.SM,18,پسر,روستا,1822,556,1266,1390,20,20
400,IR.TH,18,پسر,روستا,8959,3128,5831,1390,23,23
401,IR.WA,18,پسر,روستا,13856,4091,9765,1390,4,04
402,IR.YA,18,پسر,روستا,2119,722,1397,1390,21,21
403,IR.ZA,18,پسر,روستا,4495,1333,3162,1390,19,19
404,IR.AL,19,پسر,روستا,2077,702,1375,1390,30,30
405,IR.AR,19,پسر,روستا,5190,1301,3889,1390,24,24
406,IR.BK,19,پسر,روستا,8697,1805,6892,1390,5,05
407,IR.BS,19,پسر,روستا,3292,1286,2006,1390,18,18
408,IR.CM,19,پسر,روستا,4093,1180,2913,1390,14,14
409,IR.EA,19,پسر,روستا,12307,2735,9572,1390,3,03
410,IR.ES,19,پسر,روستا,7115,1881,5234,1390,10,10
411,IR.FA,19,پسر,روستا,15595,4823,10772,1390,7,07
412,IR.GI,19,پسر,روستا,8268,2608,5660,1390,1,01
413,IR.GO,19,پسر,روستا,8144,2057,6087,1390,27,27
414,IR.HD,19,پسر,روستا,7988,1832,6156,1390,13,13
415,IR.HG,19,پسر,روستا,9491,2477,7014,1390,22,22
